timestamp_utc,elapsed_sec,private_bytes,managed_heap_bytes,gen0,gen1,gen2,total_points_delivered,route_event_log_live,route_event_log_dropped,bp_event_log_live,bp_event_log_dropped,sink_event_log_live,sink_event_log_dropped
2026-04-09T11:13:23.4787958Z,0.0,15966208,3142392,0,0,0,200,2,0,0,0,0,0
2026-04-09T11:13:33.4787927Z,10.0,20979712,4018304,12,1,0,19200,2,0,0,0,0,0
2026-04-09T11:13:43.4789356Z,20.0,20103168,4996304,24,2,1,38000,2,0,0,0,0,0
2026-04-09T11:13:53.4800453Z,30.0,19955712,2292832,37,3,1,57000,2,0,0,0,0,0
2026-04-09T11:14:03.4804158Z,40.0,20447232,3709080,49,4,1,76000,2,0,0,0,0,0
2026-04-09T11:14:13.4945778Z,50.0,19992576,5127800,61,5,1,95000,2,0,0,0,0,0
